"title"	"gpl"	"bioc_package"	"manufacturer"	"organism"	"data_row_count"
"[Maize] Affymetrix Maize Genome Array"	"GPL4032"	"moe430a"	"Affymetrix"	"Zea mays"	17734
"[MOE430A] Affymetrix Mouse Expression 430A Array"	"GPL339"	"moe430b"	"Affymetrix"	"Mus musculus"	22690
"[MOE430B] Affymetrix Mouse Expression 430B Array"	"GPL340"	"mouse4302"	"Affymetrix"	"Mus musculus"	22575
"[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array"	"GPL1261"	"mouse430a2"	"Affymetrix"	"Mus musculus"	45101
"[Mu11KsubA] Affymetrix Murine 11K SubA Array"	"GPL75"	"mu11ksuba"	"Affymetrix"	"Mus musculus"	6584
"[Mu11KsubB] Affymetrix Murine 11K SubB Array"	"GPL76"	"mu11ksubb"	"Affymetrix"	"Mus musculus"	6595
"[Mu19KsubA] Affymetrix Murine 19K SubA Array"	"GPL77"	"mu19ksuba"	"Affymetrix"	"Mus musculus"	7045
"[Mu19KsubB] Affymetrix Murine 19K SubB Array"	"GPL78"	"mu19ksubb"	"Affymetrix"	"Mus musculus"	7054
"[Mu19KsubC] Affymetrix Murine 19K SubC Array"	"GPL79"	"mu19ksubc"	"Affymetrix"	"Mus musculus"	7047
"[RAE230A] Affymetrix Rat Expression 230A Array"	"GPL341"	"rae230a"	"Affymetrix"	"Rattus norvegicus"	15923
"[RAE230B] Affymetrix Rat Expression 230B Array"	"GPL342"	"rae230b"	"Affymetrix"	"Rattus norvegicus"	15333
"[Rat230_2] Affymetrix Rat Genome 230 2.0 Array"	"GPL1355"	"rat2302"	"Affymetrix"	"Rattus norvegicus"	31099
"[RG_U34A] Affymetrix Rat Genome U34 Array"	"GPL85"	"rgu34a"	"Affymetrix"	"Rattus norvegicus"	8799
"[RG_U34B] Affymetrix Rat Genome U34 Array"	"GPL86"	"rgu34b"	"Affymetrix"	"Rattus norvegicus"	8791
"[RG_U34C] Affymetrix Rat Genome U34 Array"	"GPL87"	"rgu34c"	"Affymetrix"	"Rattus norvegicus"	8789
"[RN_U34] Affymetrix Rat Neurobiology U34 Array"	"GPL88"	"rnu34"	"Affymetrix"	"Rattus norvegicus"	1322
"[RT_U34] Affymetrix Rat Toxicology U34 Array"	"GPL89"	"rtu34"	"Affymetrix"	"Rattus norvegicus"	1031
"[U133_X3P] Affymetrix Human X3P Array"	"GPL1352"	"u133x3p"	"Affymetrix"	"Homo sapiens"	61359
"[Xenopus_laevis] Affymetrix Xenopus laevis Genome Array"	"GPL1318"	"xenopuslaevis"	"Affymetrix"	"Xenopus laevis"	15611
"[Yeast_2] Affymetrix Yeast Genome 2.0 Array"	"GPL2529"	"yeast2"	"Affymetrix"	"Schizosaccharomyces pombe;	Saccharomyces cerevisiae"	10928
"[YG_S98] Affymetrix Yeast Genome S98 Array"	"GPL90"	"ygs98"	"Affymetrix"	"Saccharomyces cerevisiae"	9335
"[Zebrafish] Affymetrix Zebrafish Genome Array"	"GPL1319"	"zebrafish"	"Affymetrix"	"Danio rerio"	15617
