CCLE.Cell.Line.Name,Primary.Cell.Line.Name,Compound,Target,Doses..uM.,Activity.Data..median.,Activity.SD,Num.Data,FitType,EC50..uM.,IC50..uM.,Amax,ActArea
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,4.52,17.9,40.1,-4.0,-17,.22,-67","21.6,12.9,9.76,6.44,11.3,16.2,22.8,5.32",8,Linear,NA,0.849476227,-65.44864655,1.5649
769P_KIDNEY,769-P,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.58,-4.1,6.18,-7.0,-13,-40,-28,-47","18.1,12.4,12.4,5.80,5.24,10.3,6.56,6.84",8,Sigmoid,0.306242794,8,-39.68809509,1.4376
769P_KIDNEY,769-P,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","27.0,19.7,35.2,25.0,3.26,-4.2,-15,-50","4.21,16.4,5.61,6.07,1.44,5.71,16.9,.92",8,Sigmoid,2.511436701,8,-49.71030426,0.7575
769P_KIDNEY,769-P,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,-6.7,-9.8,-18,-68,-61,-76,-74","8.12,.81,24.1,6.79,6.45,9.98,1.09,4.92",8,Sigmoid,0.12979719,0.1517988,-72.46472168,2.9596
769P_KIDNEY,769-P,PHA-665752,c-MET,".0025,.025,.080,.25,.80,2.53,8","-12,17.3,.26,8.19,-13,-.74,-66","1.21,11.1,5.08,3.19,4.93,14.8,8.67",7,Sigmoid,7.583794117,7.150411129,-66.17446899,0.669
769P_KIDNEY,769-P,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","6.90,12.9,29.3,13.1,-12,-43,-63,-76","2.69,12.0,5.55,2.81,2.95,2.88,1.59,1.54",8,Sigmoid,0.435292333,1.057461143,-74.29395294,1.5596
786O_KIDNEY,786-O,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.2,-.53,.55,-4.1,2.41,-11,-8.8,-52","14.5,15.3,7.11,9.90,4.66,3.60,2.58,11.5",8,Sigmoid,5.267667294,7.613147736,-51.68631744,0.5954
786O_KIDNEY,786-O,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.1,-6.0,1.59,-3.9,-3.1,-7.5,-11,-29","0,0,0,0,0,0,0,0",8,Sigmoid,8.565154598,8,-28.44092751,0.5356
786O_KIDNEY,786-O,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-16,-1.3,-14,-10,-35,-87,-95,-95","9.48,2.82,9.76,4.89,15.1,2.00,.78,1.19",8,Sigmoid,0.280528814,0.279530227,-95.40687561,3.3045
786O_KIDNEY,786-O,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","-7.7,-2.3,-3.9,.051,-3.8,-3.6,-.020,-38","9.68,7.85,7.83,9.89,7.69,9.94,14.1,9.44",8,Sigmoid,7.68282795,8,-37.98610306,0.361
786O_KIDNEY,786-O,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","3.10,2.70,-12,-2.5,-9.2,-13,-18,-55","0,0,0,0,0,0,0,0",8,Sigmoid,8.749792573,7.178035259,-54.4070015,1.0403
8305C_THYROID,8305C,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.00,-1.9,8.83,9.38,-18,-17,-28,-68","6.49,3.67,4.67,6.24,6.70,3.11,9.45,7.52",8,Sigmoid,8.520771485,4.95063591,-66.22883606,1.2929
8305C_THYROID,8305C,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","16.6,-17,3.73,-4.6,26.1,-7.6,-.17,-55","11.6,8.44,17.3,10.4,.84,5.65,7.51,7.19",8,Linear,NA,5.635250228,-52.9630928,0.9183
8305C_THYROID,8305C,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-32,1.03,-14,-40,-62,-68,-74","7.20,.47,5.92,4.13,.42,1.60,.059,7.40",8,Sigmoid,0.244567513,0.375401258,-70.98512268,3.522
8305C_THYROID,8305C,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","6.72,-7.6,7.02,2.55,3.36,-19,-2.5,-28","9.60,1.56,9.29,5.17,2.44,11.2,3.48,20.5",8,Constant,NA,8,-2.419291973,0.6963
8305C_THYROID,8305C,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","10.4,3.98,.72,-2.2,5.75,.93,4.85,-49","5.81,7.54,11.3,7.42,1.19,11.9,9.53,4.69",8,Sigmoid,8.374241953,8,-48.73649979,0.5409
8505C_THYROID,8505C,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-6.0,-.21,-2.4,6.80,-6.3,1.35,-19,-22",".63,13.0,4.25,6.36,3.61,7.19,6.61,2.70",8,Sigmoid,1.846689939,8,-22.26882553,0.3189
8505C_THYROID,8505C,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-.19,-2.8,4.41,-.39,-.24,-6.1,-7.4,-63","3.20,.78,1.44,5.57,1.00,.42,2.52,2.20",8,Sigmoid,8.214055728,6.852528572,-63.20693588,0.6024
8505C_THYROID,8505C,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.4,-1.7,-10,-12,-48,-79,-91,-93","7.20,14.2,.22,9.86,7.81,3.18,.10,1.29",8,Sigmoid,0.28396824,0.282174945,-92.78522491,3.6759
8505C_THYROID,8505C,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.4,-6.2,5.43,1.59,-2.5,-1.7,-8.2,-10","6.68,10.2,5.92,7.98,12.8,15.1,18.2,28.0",8,Constant,NA,8,5.896942616,0
8505C_THYROID,8505C,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","6.48,-4.9,10.7,-.031,.58,-1.0,1.95,-31","10.4,10.2,4.39,1.00,11.0,5.60,9.06,5.90",8,Sigmoid,8.2541076,8,-30.6750164,0.2543
